Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]
Loading weights:   1%|          | 2/399 [00:00<00:30, 12.94it/s]
Loading weights:  10%|▉         | 38/399 [00:00<00:02, 174.20it/s]
Loading weights:  18%|█▊        | 71/399 [00:00<00:01, 235.09it/s]
Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 345.09it/s]
Loading weights:  41%|████      | 163/399 [00:00<00:00, 341.02it/s]
Loading weights:  52%|█████▏    | 206/399 [00:00<00:00, 332.44it/s]
Loading weights:  65%|██████▍   | 258/399 [00:00<00:00, 358.25it/s]
Loading weights:  79%|███████▉  | 316/399 [00:00<00:00, 379.01it/s]
Loading weights:  94%|█████████▎| 374/399 [00:01<00:00, 431.97it/s]
Loading weights: 100%|██████████| 399/399 [00:01<00:00, 356.85it/s]
Loaded in 3s, layers: 36
EARLY FORK: layers 12-35 (24 expert layers)
Trainable: 6,488,064 (6.5M)
Loading C4...
Training 15000 steps with learntropy-LR, fork at layer 12...
Step 0/15000 | loss=2.6406 | tau=1.000
  Route: E0=0.508 E1=0.492 | LT: E0=2.48 E1=2.48 | LR: E0=1.0e-04 E1=1.0e-04
Step 200/15000 | loss=3.0312 | tau=0.983
  Route: E0=0.465 E1=0.535 | LT: E0=2.37 E1=2.20 | LR: E0=6.4e-05 E1=4.7e-05
Step 400/15000 | loss=3.3438 | tau=0.967
  Route: E0=0.516 E1=0.486 | LT: E0=2.40 E1=1.95 | LR: E0=8.5e-05 E1=3.5e-05
Step 600/15000 | loss=2.7344 | tau=0.950
  Route: E0=0.512 E1=0.486 | LT: E0=2.31 E1=1.79 | LR: E0=9.5e-05 E1=3.2e-05
Step 800/15000 | loss=3.0469 | tau=0.933
  Route: E0=0.443 E1=0.559 | LT: E0=2.32 E1=1.76 | LR: E0=9.9e-05 E1=3.0e-05
Step 1000/15000 | loss=3.0625 | tau=0.917
  Route: E0=0.500 E1=0.498 | LT: E0=2.30 E1=1.82 | LR: E0=9.0e-05 E1=3.3e-05
Step 1200/15000 | loss=2.7812 | tau=0.900
  Route: E0=0.463 E1=0.539 | LT: E0=2.30 E1=1.76 | LR: E0=9.6e-05 E1=3.1e-05
Step 1400/15000 | loss=1.4375 | tau=0.883
  Route: E0=0.504 E1=0.496 | LT: E0=2.33 E1=1.77 | LR: E0=9.7e-05 E1=3.1e-05
Step 1600/15000 | loss=2.8125 | tau=0.867
  Route: E0=0.490 E1=0.508 | LT: E0=2.45 E1=1.85 | LR: E0=1.0e-04 E1=3.0e-05
Step 1800/15000 | loss=3.1562 | tau=0.850
  Route: E0=0.500 E1=0.498 | LT: E0=2.43 E1=1.79 | LR: E0=1.0e-04 E1=2.9e-05
Step 2000/15000 | loss=2.2812 | tau=0.833
