[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Gumbel-Softmax Routing Experiment
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-28 04:56:25] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-28 04:56:25] can drive selective routing.
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'gumbel_softmax/gumbel_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_niche', 'log_file': '/root/t6b-mogae/logs/gumbel_niche_finetune.log'}
[2026-03-28 04:56:25] Loading Qwen/Qwen3-1.7B...
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 17482.83it/s]
The tied weights mapping and config for this model specifies to tie model.embed_tokens.weight to lm_head.weight, but both are present in the checkpoints, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-28 04:56:29] Base model loaded: 2,031,739,904 params
[2026-03-28 04:56:29] Verified: hidden=2048, intermediate=6144
[2026-03-28 04:56:29] Loaded Gumbel checkpoint from step 24414
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:29] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-28 04:56:29] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-28 04:56:29] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:42]   step 100/24414 | lm=3.4531 c=0.0840 tau=0.996 | lr=1.00e-04 | 15847 tok/s route_L18=[0.60, 0.40]
[2026-03-28 04:56:52]   step 200/24414 | lm=2.9219 c=0.0781 tau=0.993 | lr=1.00e-04 | 18132 tok/s route_L18=[0.65, 0.35]
[2026-03-28 04:57:01]   step 300/24414 | lm=2.8438 c=0.0728 tau=0.989 | lr=1.00e-04 | 19019 tok/s route_L18=[0.51, 0.49]
[2026-03-28 04:57:11]   step 400/24414 | lm=1.8750 c=0.0693 tau=0.985 | lr=9.99e-05 | 19478 tok/s route_L18=[0.41, 0.59]
[2026-03-28 04:57:21]   step 500/24414 | lm=2.8281 c=0.0654 tau=0.981 | lr=9.99e-05 | 19767 tok/s route_L18=[0.71, 0.29]
[2026-03-28 04:57:31]   step 600/24414 | lm=2.4531 c=0.0630 tau=0.978 | lr=9.99e-05 | 19943 tok/s route_L18=[0.54, 0.46]
[2026-03-28 04:57:41]   step 700/24414 | lm=3.3438 c=0.0598 tau=0.974 | lr=9.98e-05 | 20051 tok/s route_L18=[0.66, 0.34]
[2026-03-28 04:57:50]   step 800/24414 | lm=3.2656 c=0.0574 tau=0.970 | lr=9.97e-05 | 20126 tok/s route_L18=[0.64, 0.36]
[2026-03-28 04:58:00]   step 900/24414 | lm=2.4688 c=0.0562 tau=0.966 | lr=9.97e-05 | 20174 tok/s route_L18=[0.62, 0.37]
[2026-03-28 04:58:10]   step 1000/24414 | lm=3.3438 c=0.0547 tau=0.963 | lr=9.96e-05 | 20201 tok/s route_L18=[0.59, 0.41]
[2026-03-28 04:58:10] --- Eval at step 1000 (tau=0.963) ---
[2026-03-28 04:58:26]   PPL=20.15 | mean_cossim=0.5482421875
[2026-03-28 04:58:26]   L18: selectivity=0.287 (std=0.147, frac>0.3=0.51)
[2026-03-28 04:58:26]   L19: selectivity=0.297 (std=0.148, frac>0.3=0.54)
[2026-03-28 04:58:26]   L20: selectivity=0.348 (std=0.147, frac>0.3=0.67)
[2026-03-28 04:58:26]   L21: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 04:58:26]   L22: selectivity=0.338 (std=0.149, frac>0.3=0.64)
[2026-03-28 04:58:26]   L23: selectivity=0.355 (std=0.147, frac>0.3=0.69)
[2026-03-28 04:58:26]   L24: selectivity=0.346 (std=0.148, frac>0.3=0.66)
[2026-03-28 04:58:26]   L25: selectivity=0.357 (std=0.147, frac>0.3=0.70)
[2026-03-28 04:58:26]   L26: selectivity=0.393 (std=0.140, frac>0.3=0.77)
[2026-03-28 04:58:26]   L27: selectivity=0.398 (std=0.137, frac>0.3=0.79)
[2026-03-28 04:58:26]   L18: entropy=0.447 gini=0.133 dist=['0.633', '0.365']
[2026-03-28 04:58:26]   L19: entropy=0.430 gini=0.031 dist=['0.527', '0.473']
[2026-03-28 04:58:26]   L20: entropy=0.338 gini=0.109 dist=['0.391', '0.609']
[2026-03-28 04:58:26]   L21: entropy=0.352 gini=0.117 dist=['0.381', '0.617']
[2026-03-28 04:58:26]   L22: entropy=0.357 gini=0.062 dist=['0.438', '0.562']
[2026-03-28 04:58:26]   L23: entropy=0.322 gini=0.125 dist=['0.371', '0.629']
[2026-03-28 04:58:26]   L24: entropy=0.344 gini=0.125 dist=['0.621', '0.379']
[2026-03-28 04:58:26]   L25: entropy=0.316 gini=0.094 dist=['0.406', '0.594']
[2026-03-28 04:58:26]   L26: entropy=0.249 gini=0.000 dist=['0.498', '0.500']
[2026-03-28 04:58:26]   L27: entropy=0.236 gini=0.125 dist=['0.371', '0.629']
[2026-03-28 04:58:26] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step1000.pt
