[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Gumbel-Softmax Routing Experiment
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-27 13:46:23] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-27 13:46:23] can drive selective routing.
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'fork_trunk18_phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints/fork_trunk18', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_softmax', 'log_file': '/root/t6b-mogae/logs/gumbel_softmax.log'}
[2026-03-27 13:46:23] Loading Qwen/Qwen3-1.7B...
[2026-03-27 13:46:26] Base model loaded: 1,720,574,976 params
[2026-03-27 13:46:26] Verified: hidden=2048, intermediate=6144
[2026-03-27 13:46:26] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/fork_trunk18/fork_trunk18_phase1_final.pt
[2026-03-27 13:46:26] Loaded Phase 1 weights (step 24414, phase 1)
[2026-03-27 13:46:26] Forking each layer: 1 expert -> 2 experts with perturbation...
[2026-03-27 13:46:26] Fork complete. Tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-27 13:46:26] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-27 13:46:26] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:40]   step 100/24414 | lm=3.4688 c=0.4961 tau=0.996 | lr=1.00e-04 | 15464 tok/s route_L18=[0.60, 0.40]
[2026-03-27 13:46:49]   step 200/24414 | lm=2.9375 c=0.4961 tau=0.993 | lr=1.00e-04 | 17811 tok/s route_L18=[0.62, 0.38]
[2026-03-27 13:46:59]   step 300/24414 | lm=2.8438 c=0.4961 tau=0.989 | lr=1.00e-04 | 18728 tok/s route_L18=[0.55, 0.45]
[2026-03-27 13:47:09]   step 400/24414 | lm=1.8906 c=0.4844 tau=0.985 | lr=9.99e-05 | 19207 tok/s route_L18=[0.44, 0.55]
[2026-03-27 13:47:19]   step 500/24414 | lm=2.8281 c=0.4785 tau=0.981 | lr=9.99e-05 | 19484 tok/s route_L18=[0.67, 0.33]
[2026-03-27 13:47:29]   step 600/24414 | lm=2.4688 c=0.4648 tau=0.978 | lr=9.99e-05 | 19657 tok/s route_L18=[0.55, 0.45]
[2026-03-27 13:47:39]   step 700/24414 | lm=3.3594 c=0.4531 tau=0.974 | lr=9.98e-05 | 19768 tok/s route_L18=[0.61, 0.39]
[2026-03-27 13:47:49]   step 800/24414 | lm=3.2656 c=0.4336 tau=0.970 | lr=9.97e-05 | 19838 tok/s route_L18=[0.68, 0.32]
[2026-03-27 13:47:59]   step 900/24414 | lm=2.4844 c=0.4160 tau=0.966 | lr=9.97e-05 | 19884 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:48:09]   step 1000/24414 | lm=3.3438 c=0.4004 tau=0.963 | lr=9.96e-05 | 19909 tok/s route_L18=[0.56, 0.44]
[2026-03-27 13:48:09] --- Eval at step 1000 (tau=0.963) ---
[2026-03-27 13:48:25]   PPL=20.14 | mean_cossim=0.8984375
[2026-03-27 13:48:25]   L18: selectivity=0.264 (std=0.143, frac>0.3=0.44)
[2026-03-27 13:48:25]   L19: selectivity=0.277 (std=0.146, frac>0.3=0.48)
[2026-03-27 13:48:25]   L20: selectivity=0.328 (std=0.149, frac>0.3=0.62)
[2026-03-27 13:48:25]   L21: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 13:48:25]   L22: selectivity=0.326 (std=0.149, frac>0.3=0.61)
[2026-03-27 13:48:25]   L23: selectivity=0.350 (std=0.148, frac>0.3=0.68)
[2026-03-27 13:48:25]   L24: selectivity=0.340 (std=0.148, frac>0.3=0.65)
[2026-03-27 13:48:25]   L25: selectivity=0.352 (std=0.148, frac>0.3=0.68)
[2026-03-27 13:48:25]   L26: selectivity=0.379 (std=0.143, frac>0.3=0.74)
[2026-03-27 13:48:25]   L27: selectivity=0.385 (std=0.141, frac>0.3=0.76)
[2026-03-27 13:48:25]   L18: entropy=0.486 gini=0.117 dist=['0.617', '0.381']
[2026-03-27 13:48:25]   L19: entropy=0.463 gini=0.016 dist=['0.520', '0.480']
[2026-03-27 13:48:25]   L20: entropy=0.375 gini=0.086 dist=['0.412', '0.586']
[2026-03-27 13:48:25]   L21: entropy=0.369 gini=0.141 dist=['0.365', '0.637']
[2026-03-27 13:48:25]   L22: entropy=0.379 gini=0.062 dist=['0.439', '0.562']
[2026-03-27 13:48:25]   L23: entropy=0.332 gini=0.141 dist=['0.357', '0.641']
[2026-03-27 13:48:25]   L24: entropy=0.355 gini=0.133 dist=['0.637', '0.361']
[2026-03-27 13:48:25]   L25: entropy=0.330 gini=0.109 dist=['0.396', '0.605']
[2026-03-27 13:48:25]   L26: entropy=0.277 gini=0.000 dist=['0.504', '0.496']
[2026-03-27 13:48:25]   L27: entropy=0.264 gini=0.141 dist=['0.365', '0.637']
[2026-03-27 13:48:25] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step1000.pt
[2026-03-27 13:48:35]   step 1100/24414 | lm=3.0156 c=0.3828 tau=0.959 | lr=9.95e-05 | 17494 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:48:45]   step 1200/24414 | lm=2.6719 c=0.3691 tau=0.955 | lr=9.94e-05 | 17681 tok/s route_L18=[0.53, 0.47]
[2026-03-27 13:48:56]   step 1300/24414 | lm=3.0938 c=0.3477 tau=0.951 | lr=9.93e-05 | 17840 tok/s route_L18=[0.61, 0.39]
