Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]
Loading weights:   1%|          | 2/399 [00:00<00:30, 12.95it/s]
Loading weights:  11%|█         | 43/399 [00:00<00:01, 202.91it/s]
Loading weights:  17%|█▋        | 68/399 [00:00<00:01, 216.38it/s]
Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 347.00it/s]
Loading weights:  41%|████      | 164/399 [00:00<00:00, 342.56it/s]
Loading weights:  50%|█████     | 200/399 [00:00<00:00, 339.12it/s]
Loading weights:  63%|██████▎   | 252/399 [00:00<00:00, 388.23it/s]
Loading weights:  75%|███████▌  | 301/399 [00:00<00:00, 404.01it/s]
Loading weights:  86%|████████▌ | 342/399 [00:01<00:00, 400.28it/s]
Loading weights:  98%|█████████▊| 391/399 [00:01<00:00, 424.14it/s]
Loading weights: 100%|██████████| 399/399 [00:01<00:00, 358.11it/s]
Loaded in 3s, 16.4GB
Layers: 36, hidden: 4096, inter: 12288
Expert layers: 24-35
Trainable: 3,244,032 params (3.2M)
Loading C4...
Training 25000 steps...
Step 0/25000 | loss=2.6406 | tau=1.000 | route=[0.51,0.49]
Step 100/25000 | loss=2.6406 | tau=0.995 | route=[0.49,0.51]
Step 200/25000 | loss=2.8906 | tau=0.990 | route=[0.52,0.48]
Step 300/25000 | loss=2.4219 | tau=0.985 | route=[0.48,0.52]
Step 400/25000 | loss=2.5781 | tau=0.980 | route=[0.48,0.52]
Step 500/25000 | loss=2.8594 | tau=0.975 | route=[0.53,0.47]
Step 600/25000 | loss=2.8750 | tau=0.970 | route=[0.47,0.53]
Step 700/25000 | loss=2.6250 | tau=0.965 | route=[0.50,0.50]
Step 800/25000 | loss=2.0469 | tau=0.960 | route=[0.51,0.49]
Step 900/25000 | loss=2.7812 | tau=0.955 | route=[0.52,0.48]
Step 1000/25000 | loss=2.7344 | tau=0.950 | route=[0.46,0.54]
  Eval PPL=16.12 CosSim=0.0532
Step 1100/25000 | loss=2.9844 | tau=0.945 | route=[0.47,0.53]
Step 1200/25000 | loss=2.7969 | tau=0.940 | route=[0.48,0.52]
Step 1300/25000 | loss=2.9375 | tau=0.935 | route=[0.46,0.54]
Step 1400/25000 | loss=2.4062 | tau=0.930 | route=[0.47,0.53]
Step 1500/25000 | loss=3.6406 | tau=0.925 | route=[0.48,0.52]
Step 1600/25000 | loss=2.5156 | tau=0.920 | route=[0.55,0.45]
Step 1700/25000 | loss=2.7344 | tau=0.915 | route=[0.49,0.51]
Step 1800/25000 | loss=3.0312 | tau=0.910 | route=[0.49,0.51]
Step 1900/25000 | loss=2.9375 | tau=0.905 | route=[0.50,0.50]
Step 2000/25000 | loss=3.3750 | tau=0.900 | route=[0.49,0.51]
  Eval PPL=26.62 CosSim=0.0557
Step 2100/25000 | loss=2.3750 | tau=0.895 | route=[0.52,0.48]
Step 2200/25000 | loss=2.8750 | tau=0.890 | route=[0.53,0.47]
Step 2300/25000 | loss=2.9688 | tau=0.885 | route=[0.48,0.52]
Step 2400/25000 | loss=4.1250 | tau=0.880 | route=[0.46,0.54]
Step 2500/25000 | loss=3.2031 | tau=0.875 | route=[0.55,0.45]
Step 2600/25000 | loss=3.0469 | tau=0.870 | route=[0.49,0.51]
Step 2700/25000 | loss=2.6719 | tau=0.865 | route=[0.47,0.53]
