[2026-03-27 17:33:10] ======================================================================
[2026-03-27 17:33:10] Top-2 Routing Experiment (4 experts, top-2 Gumbel-softmax)
[2026-03-27 17:33:10] ======================================================================
[2026-03-27 17:33:10] Hypothesis: With top-2 routing, each token activates 2 experts.
[2026-03-27 17:33:10] One handles functional processing, the other domain knowledge.
[2026-03-27 17:33:10] This enables multi-axis specialization impossible with top-1.
[2026-03-27 17:33:10] ======================================================================
[2026-03-27 17:33:10] Config: {'device': 'cuda:1', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 4, 'top_k': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.05, 'contrastive_margin': 0.5, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_top2_routing', 'checkpoint_dir': '/root/t6b-mogae/checkpoints', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/top2_routing', 'log_file': '/root/t6b-mogae/logs/top2_routing.log'}
[2026-03-27 17:33:10] Loading Qwen/Qwen3-1.7B...
[2026-03-27 17:33:13] Base model loaded: 1,720,574,976 params
[2026-03-27 17:33:13] Verified: hidden=2048, intermediate=6144
[2026-03-27 17:33:13] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/phase1_final.pt
[2026-03-27 17:34:51] ======================================================================
[2026-03-27 17:34:51] Top-2 Routing Experiment (4 experts, top-2 Gumbel-softmax)
[2026-03-27 17:34:51] ======================================================================
[2026-03-27 17:34:51] Hypothesis: With top-2 routing, each token activates 2 experts.
[2026-03-27 17:34:51] One handles functional processing, the other domain knowledge.
[2026-03-27 17:34:51] This enables multi-axis specialization impossible with top-1.
[2026-03-27 17:34:51] ======================================================================
[2026-03-27 17:34:51] Config: {'device': 'cuda:1', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'fork_trunk18_phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 4, 'top_k': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.05, 'contrastive_margin': 0.5, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_top2_routing', 'checkpoint_dir': '/root/t6b-mogae/checkpoints/fork_trunk18', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/top2_routing', 'log_file': '/root/t6b-mogae/logs/top2_routing.log'}
[2026-03-27 17:34:51] Loading Qwen/Qwen3-1.7B...
[2026-03-27 17:34:54] Base model loaded: 1,720,574,976 params
[2026-03-27 17:34:54] Verified: hidden=2048, intermediate=6144
[2026-03-27 17:34:54] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/fork_trunk18/fork_trunk18_phase1_final.pt
[2026-03-27 17:34:54] Loaded Phase 1 weights (step 24414, phase 1)
[2026-03-27 17:34:54] Forking: 1 -> 2 experts (round 1)...
[2026-03-27 17:34:54] Forking: 2 -> 4 experts (round 2)...
[2026-03-27 17:34:54] Fork complete. Tree: {18: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 19: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 20: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 21: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 22: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 23: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 24: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 25: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 26: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 27: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}}
[2026-03-27 17:34:54] Trainable params: 2,703,360
[2026-03-27 17:34:54] Expert tree: {18: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 19: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 20: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 21: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 22: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 23: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 24: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 25: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 26: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 27: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}}
[2026-03-27 17:34:54] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-27 17:34:54] Top-2 Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-27 17:34:54] 4 experts, top-2 routing, contrastive weight: 0.05
[2026-03-27 17:34:54] NO load-balancing loss
[2026-03-27 17:34:54] Trainable params: 2,703,360
[2026-03-27 17:34:54] Expert tree: {18: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 19: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 20: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 21: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 22: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 23: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 24: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 25: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 26: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}, 27: {'num_experts': 4, 'ranks': [4, 4, 4, 4]}}
[2026-03-27 17:35:12]   step 100/24414 | lm=3.4688 c=0.4961 tau=0.996 | lr=1.00e-04 | 11622 tok/s route_L18=[0.25, 0.25, 0.27, 0.24] top2freq=[0.25, 0.24, 0.26, 0.25]
[2026-03-27 17:35:26]   step 200/24414 | lm=2.9375 c=0.4961 tau=0.993 | lr=1.00e-04 | 12916 tok/s route_L18=[0.16, 0.20, 0.28, 0.36] top2freq=[0.15, 0.21, 0.27, 0.37]
[2026-03-27 17:35:40]   step 300/24414 | lm=2.8438 c=0.4961 tau=0.989 | lr=1.00e-04 | 13394 tok/s route_L18=[0.18, 0.22, 0.25, 0.35] top2freq=[0.16, 0.23, 0.26, 0.35]
[2026-03-27 17:35:54]   step 400/24414 | lm=1.8906 c=0.4961 tau=0.985 | lr=9.99e-05 | 13623 tok/s route_L18=[0.10, 0.16, 0.16, 0.58] top2freq=[0.11, 0.22, 0.22, 0.45]
[2026-03-27 17:36:09]   step 500/24414 | lm=2.8281 c=0.4941 tau=0.981 | lr=9.99e-05 | 13745 tok/s route_L18=[0.25, 0.18, 0.31, 0.26] top2freq=[0.25, 0.18, 0.31, 0.27]
[2026-03-27 17:36:23]   step 600/24414 | lm=2.4688 c=0.4902 tau=0.978 | lr=9.99e-05 | 13818 tok/s route_L18=[0.14, 0.10, 0.37, 0.39] top2freq=[0.13, 0.09, 0.38, 0.40]
[2026-03-27 17:36:38]   step 700/24414 | lm=3.3594 c=0.4883 tau=0.974 | lr=9.98e-05 | 13861 tok/s route_L18=[0.20, 0.13, 0.28, 0.39] top2freq=[0.21, 0.12, 0.29, 0.38]
[2026-03-27 17:36:52]   step 800/24414 | lm=3.2656 c=0.4844 tau=0.970 | lr=9.97e-05 | 13887 tok/s route_L18=[0.19, 0.20, 0.19, 0.41] top2freq=[0.21, 0.22, 0.19, 0.39]
[2026-03-27 17:37:07]   step 900/24414 | lm=2.4844 c=0.4805 tau=0.966 | lr=9.97e-05 | 13904 tok/s route_L18=[0.16, 0.13, 0.30, 0.42] top2freq=[0.15, 0.13, 0.32, 0.40]
[2026-03-27 17:37:21]   step 1000/24414 | lm=3.3438 c=0.4805 tau=0.963 | lr=9.96e-05 | 13914 tok/s route_L18=[0.21, 0.13, 0.25, 0.41] top2freq=[0.22, 0.13, 0.27, 0.39]
[2026-03-27 17:37:21] --- Eval at step 1000 (tau=0.963) ---
[2026-03-27 17:37:40]   PPL=20.14 | mean_cossim=0.9787760416666667
[2026-03-27 17:37:40]   L18: selectivity=0.334 (std=0.158, frac>0.3=0.52) pairs=12/12 usage_cv=0.406
[2026-03-27 17:37:40]   L19: selectivity=0.396 (std=0.172, frac>0.3=0.65) pairs=12/12 usage_cv=0.446
[2026-03-27 17:37:40]   L20: selectivity=0.424 (std=0.181, frac>0.3=0.69) pairs=12/12 usage_cv=0.248
[2026-03-27 17:37:40]   L21: selectivity=0.500 (std=0.188, frac>0.3=0.80) pairs=12/12 usage_cv=0.557
[2026-03-27 17:37:40]   L22: selectivity=0.453 (std=0.182, frac>0.3=0.75) pairs=12/12 usage_cv=0.348
[2026-03-27 17:37:40]   L23: selectivity=0.482 (std=0.185, frac>0.3=0.79) pairs=12/12 usage_cv=0.319
[2026-03-27 17:37:40]   L24: selectivity=0.492 (std=0.180, frac>0.3=0.81) pairs=12/12 usage_cv=0.558
[2026-03-27 17:37:40]   L25: selectivity=0.467 (std=0.183, frac>0.3=0.76) pairs=12/12 usage_cv=0.400
[2026-03-27 17:37:40]   L26: selectivity=0.539 (std=0.180, frac>0.3=0.86) pairs=12/12 usage_cv=0.578
[2026-03-27 17:37:40]   L27: selectivity=0.547 (std=0.181, frac>0.3=0.86) pairs=12/12 usage_cv=0.493
[2026-03-27 17:37:40]   L18: entropy=0.988 gini=0.195 dist=['0.187', '0.149', '0.287', '0.377'] top2freq=['0.185', '0.147', '0.303', '0.365']
[2026-03-27 17:37:40]   L19: entropy=0.855 gini=0.250 dist=['0.426', '0.113', '0.198', '0.264'] top2freq=['0.384', '0.118', '0.218', '0.280']
[2026-03-27 17:37:40]   L20: entropy=0.801 gini=0.156 dist=['0.243', '0.176', '0.206', '0.375'] top2freq=['0.235', '0.194', '0.232', '0.339']
[2026-03-27 17:37:40]   L21: entropy=0.625 gini=0.391 dist=['0.055', '0.171', '0.209', '0.566'] top2freq=['0.078', '0.237', '0.268', '0.418']
[2026-03-27 17:37:40]   L22: entropy=0.730 gini=0.203 dist=['0.163', '0.346', '0.140', '0.352'] top2freq=['0.185', '0.329', '0.165', '0.321']
[2026-03-27 17:37:40]   L23: entropy=0.664 gini=0.188 dist=['0.143', '0.393', '0.232', '0.232'] top2freq=['0.152', '0.347', '0.249', '0.252']
[2026-03-27 17:37:40]   L24: entropy=0.633 gini=0.320 dist=['0.480', '0.134', '0.285', '0.101'] top2freq=['0.416', '0.157', '0.312', '0.115']
[2026-03-27 17:37:40]   L25: entropy=0.691 gini=0.211 dist=['0.279', '0.105', '0.235', '0.379'] top2freq=['0.296', '0.109', '0.256', '0.339']
[2026-03-27 17:37:40]   L26: entropy=0.527 gini=0.344 dist=['0.311', '0.459', '0.186', '0.044'] top2freq=['0.334', '0.389', '0.215', '0.062']
[2026-03-27 17:37:40]   L27: entropy=0.504 gini=0.336 dist=['0.118', '0.091', '0.473', '0.318'] top2freq=['0.161', '0.130', '0.380', '0.329']
[2026-03-27 17:37:40] Checkpoint saved: /root/t6b-mogae/checkpoints/top2_routing/top2_step1000.pt
[2026-03-27 17:37:55]   step 1100/24414 | lm=3.0156 c=0.4785 tau=0.959 | lr=9.95e-05 | 12467 tok/s route_L18=[0.19, 0.14, 0.34, 0.33] top2freq=[0.18, 0.13, 0.35, 0.34]
[2026-03-27 17:38:10]   step 1200/24414 | lm=2.6719 c=0.4785 tau=0.955 | lr=9.94e-05 | 12575 tok/s route_L18=[0.15, 0.16, 0.35, 0.33] top2freq=[0.15, 0.17, 0.35, 0.33]
[2026-03-27 17:38:24]   step 1300/24414 | lm=3.0938 c=0.4746 tau=0.951 | lr=9.93e-05 | 12670 tok/s route_L18=[0.12, 0.17, 0.29, 0.42] top2freq=[0.11, 0.19, 0.32, 0.38]
[2026-03-27 17:38:39]   step 1400/24414 | lm=3.1562 c=0.4746 tau=0.948 | lr=9.92e-05 | 12747 tok/s route_L18=[0.19, 0.13, 0.30, 0.37] top2freq=[0.19, 0.13, 0.31, 0.37]
